"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WESD"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-26","11.41","0.01","41","43","38","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-27","8.72","0.02","45","50","39","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-28","20.58","0.07","46","52","40","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-02-29","17.00","0.00","46","57","35","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-01","6.71","0.00","40","45","34","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-02","18.57","0.00","43","49","36","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-03","23.26","0.00","41","48","34","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-04","14.76","0.00","43","53","32","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-05","15.66","0.00","48","57","38","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-06","14.32","0.00","47","55","39","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-07","7.38","0.00","46","59","32","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-08","7.16","0.00","50","59","40","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-09","6.26","0.00","55","64","46","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-10","12.75","0.00","52","61","42","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-11","14.76","1.73","42","44","40","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-12","15.21","0.23","44","53","35","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-13","11.41","0.00","40","48","32","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-14","13.87","0.00","42","49","35","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-15","14.09","0.00","46","54","37","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-16","9.17","0.67","52","61","42","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-17","19.46","0.58","40","52","28","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-18","11.63","0.00","30","37","22","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-19","7.16","0.00","33","39","27","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-20","12.53","0.00","39","46","32","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-21","17.67","0.00","41","44","38","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-22","14.54","0.00","43","49","37","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-23","5.59","0.00","41","48","33","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-24","8.95","0.00","53","65","41","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-25","12.30","0.04","48","54","41","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-26","13.20","0.01","56","65","47","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-27","14.76","0.01","46","55","36","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-28","18.12","0.86","53","58","47","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-29","21.03","0.01","51","57","44","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-30","12.53","0.00","48","56","40","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-03-31","10.29","0.00","48","58","37","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-01","10.29","0.00","48","58","37","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-02","13.20","0.00","51","58","44","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-03","7.38","0.00","53","57","49","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-04","19.46","0.11","55","59","50","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-05","19.46","0.00","46","50","41","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-06","13.42","0.00","53","68","38","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-07","11.86","0.00","55","59","50","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-08","19.69","0.01","54","60","48","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-09","21.70","0.47","40","50","30","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-10","15.66","0.00","46","55","37","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-11","8.72","0.08","42","48","36","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-12","17.67","0.02","46","52","40","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-13","12.08","0.00","42","48","36","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-14","8.28","0.00","43","50","36","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-15","4.25","0.50","52","59","44","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-16","8.72","0.43","63","73","53","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-17","14.99","0.33","47","54","40","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-18","19.69","0.02","44","48","40","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-19","14.76","0.00","51","59","42","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-20","7.83","0.00","51","54","47","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-21","17.90","2.02","47","48","46","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-22","12.97","0.00","48","50","45","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-23","15.88","0.01","47","50","44","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-24","12.75","0.00","57","69","44","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-25","13.65","0.00","51","55","46","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-26","13.87","0.01","43","47","39","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-27","9.17","0.00","44","49","38","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-28","8.72","0.00","50","56","44","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-29","9.40","0.00","54","66","41","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-04-30","16.11","0.00","56","65","47","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-01","11.41","0.02","49","57","40","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-02","10.74","0.08","60","67","52","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-03","10.74","0.00","55","62","47","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-04","15.21","0.00","55","62","47","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-05","8.50","0.08","68","83","53","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-06","8.50","0.00","72","85","59","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-07","8.28","0.00","74","87","60","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-08","6.93","0.00","73","83","63","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-09","10.51","0.00","75","86","63","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-10","16.11","0.15","63","74","51","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-11","12.97","0.00","64","75","53","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-12","8.95","0.06","62","67","57","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-13","8.50","0.41","64","71","56","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-14","13.42","0.00","65","72","57","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-15","9.17","0.00","58","64","51","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-16","10.51","0.00","57","65","48","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-17","11.63","0.00","61","66","56","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-18","16.33","1.60","63","68","58","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-19","12.30","0.72","55","62","47","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-20","7.38","0.18","49","52","46","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-21","5.59","0.03","54","56","51","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-22","8.05","0.20","54","57","51","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-23","10.07","0.05","56","60","51","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-24","13.20","0.44","65","75","55","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-25","12.75","0.00","67","76","57","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-26","10.96","0.00","68","77","59","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-27","10.96","0.00","63","68","57","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-28","9.40","0.00","61","67","55","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-29","11.86","0.00","58","64","51","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-30","11.18","0.00","56","62","50","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-05-31","6.26","0.00","57","61","52","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-01","8.05","0.00","68","79","56","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-02","10.07","0.03","74","85","63","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-03","12.53","0.00","67","74","59","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-04","8.05","0.00","64","71","56","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-05","13.87","0.00","63","68","58","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-06","17.00","2.44","56","60","51","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-07","13.42","0.25","63","75","50","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-08","9.40","0.00","65","73","56","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-09","12.30","0.00","76","89","63","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-10","12.08","0.00","79","91","67","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-11","13.87","0.48","82","92","72","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-12","9.40","0.17","65","74","56","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-13","10.74","0.01","58","61","55","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-14","9.62","0.00","57","61","53","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-15","5.82","0.03","65","73","57","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-16","11.18","0.00","72","78","66","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-17","11.63","0.00","79","89","68","0.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2000-06-18","5.59","0.12","70","74","66","0.0"
